Target,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
31,2,27,33,6,8,44,31,47,49,12,42,24,0,29,32,19,34,43,48,45,38,11,25,21,26,41,39,13,10,18,5,30,15,37,17,7,22,23,20,3,35,36,4,9,46,16,1,14,28,40
18,29,33,42,24,16,31,32,18,15,6,30,11,22,44,0,8,46,12,49,41,37,1,39,5,10,13,35,38,28,14,40,20,17,47,21,48,45,34,19,26,25,43,7,4,36,2,23,9,3,27
17,42,45,5,21,44,6,12,7,17,31,23,10,22,40,2,11,35,47,41,3,36,14,4,33,25,38,24,15,19,28,46,9,32,13,16,34,48,30,49,39,18,20,26,37,27,43,1,8,29,0
26,33,17,34,46,28,24,6,42,31,9,0,26,16,8,2,10,30,38,41,1,29,13,37,45,43,15,14,23,47,25,12,35,39,19,18,27,4,22,40,7,11,3,5,44,20,49,21,36,32,48
16,11,10,39,19,42,13,2,49,37,47,26,28,16,29,20,1,8,15,5,33,40,30,24,21,41,38,46,43,36,31,3,34,27,17,18,32,22,45,4,23,6,7,48,44,35,14,0,9,12,25
48,10,3,43,11,9,12,45,1,34,19,24,40,22,48,4,49,15,28,33,30,26,39,23,17,8,5,2,44,29,18,14,27,46,13,25,36,16,21,38,37,42,6,31,0,35,7,41,20,47,32
12,29,23,7,14,15,44,17,45,11,1,30,28,5,47,39,3,12,4,0,34,10,37,41,20,48,21,6,8,19,38,46,32,13,31,33,2,49,26,18,42,9,24,22,27,43,40,36,25,35,16
6,9,26,19,48,30,36,27,41,35,49,33,11,20,31,45,4,28,6,7,3,40,25,24,43,17,44,16,21,10,1,46,18,29,2,34,42,0,47,37,8,13,39,38,32,12,14,23,15,22,5
23,19,33,9,47,40,28,29,1,26,32,2,0,13,37,38,6,15,46,23,3,35,34,17,11,20,42,7,22,43,30,36,49,31,41,24,45,18,21,44,10,12,4,16,14,25,48,8,27,5,39
35,15,13,14,27,42,23,35,3,44,0,47,7,5,12,43,10,21,45,40,8,16,41,46,28,2,38,20,4,18,1,9,24,11,32,36,29,37,34,6,25,17,22,31,26,39,30,48,49,19,33
0,13,36,5,8,21,18,19,0,29,23,49,33,24,15,6,47,32,17,25,37,45,9,41,40,1,44,4,35,28,11,30,14,31,48,7,12,42,43,20,27,38,26,2,16,10,3,39,22,46,34
43,22,49,47,8,14,33,36,44,43,13,30,25,46,16,1,45,27,0,6,2,3,37,23,28,42,17,15,9,40,24,38,21,31,5,20,39,7,41,32,12,34,48,18,35,26,10,11,29,4,19
7,31,35,46,22,36,27,6,21,40,41,0,7,20,34,33,42,19,23,3,9,39,17,8,24,28,37,18,5,11,12,49,4,14,2,32,38,48,44,26,47,29,45,25,43,16,10,15,1,30,13
14,36,42,48,4,20,10,34,43,1,7,16,12,14,31,47,11,21,32,19,45,2,6,40,3,24,26,17,28,37,25,8,35,49,5,44,27,18,39,13,29,15,33,0,23,9,46,41,30,22,38
34,49,7,25,2,20,12,17,41,14,10,13,19,33,34,1,26,23,15,18,5,40,11,45,21,32,4,31,28,30,42,16,46,38,43,37,35,8,27,9,48,47,29,39,22,6,44,0,36,3,24
44,4,21,48,5,39,14,9,46,23,33,18,41,28,37,31,16,44,49,32,12,36,38,27,2,13,19,15,0,20,34,8,43,7,25,26,22,11,17,3,1,30,24,10,42,35,45,40,6,47,29
21,39,23,40,49,9,34,4,43,16,47,8,28,13,38,45,10,11,21,17,25,14,19,2,3,6,15,7,5,12,46,37,26,29,0,27,41,48,24,36,42,30,1,32,22,20,33,35,44,18,31
39,2,29,46,32,49,34,26,8,36,48,21,24,35,14,13,38,0,28,39,20,31,6,41,18,11,19,17,44,42,37,27,30,9,3,4,1,12,23,33,15,25,40,10,43,16,45,47,7,5,22
